"station"	"year"	"lon"	"lat"	"non_NIS_Di"	"overall_Di"	"ratio_NISvsNAT"	"ratio_sp"	"non_NIS_Di_nw"	"overall_Di_nw"	"nbsp"	"sing.sp"	"FRic"	"FEve"	"FDiv"	"FDis"	"RaoQ"	"richness"	"Shannon"	"Simpson"	"Eveness"	"mean_NIS_Di"	"NIS_Di"	"NIS_relab"	"NIS_Di_nw"	"species"	"month"	"depth"	"bot_sal"	"bot_sal_var"	"bot_T"	"bot_T_var"	"bot_oxy"	"bot_oxy_var"
"1"	"10"	2005	19.095	57.66167	0.278515480400006	0.277467289046189	0.446199704740958	14.2857142857143	0.2732029790939	0.273658807866892	7	7	0.268481817158382	0.907048380755428	NA	2.40043482117062	6	7	0.479550096038886	0.235580581007504	0.246439999437638	0.271178140923288	0.271178140923288	0.446199704740958	0.276393780504841	"Marenzelleria"	5	40.5	7.08158372614574	0.19220046833158	3.76374360979707	1.09788055323302	419.659526954148	29.526090685145
"4"	"100"	2005	16.96783	58.37867	0.231204676991693	0.22229864200555	0.168523166173615	16.6666666666667	0.276997704363838	0.276771978028813	6	6	0.542615993974108	0.836000949418119	0.83793024183798	2.17910363026516	5	6	0.375955063165431	0.185833554624903	0.209824515858373	0.177768467074834	0.177768467074834	0.168523166173615	0.275643346353689	"Marenzelleria"	6	20	6.15576861078848	0.474867170199627	12.5625709602709	5.96316438347231	352.818591145255	40.2356850762076
"5"	"100"	2006	16.96783	58.37867	0.274888037818443	0.242942769408016	0.401014345398719	33.3333333333333	0.33215944594781	0.324535357902571	3	3	1.84629029731933	0.651998730194305	0.814351903076102	1.37384702073379	2	3	0.0295505202955628	0.00875635714355705	0.0268980427402538	0.179052232587161	0.179052232587161	0.401014345398719	0.309287181812093	"Marenzelleria"	5	20	5.94554980568511	0.360241075808903	9.69087640354915	6.57477417345288	452.826758643548	56.3750641816238
"11"	"102"	2005	16.9345	58.20917	0.175957092651256	0.180446864605278	0.388924860307257	20	0.201116922053057	0.212929804273217	5	5	0.176208561072855	0.699115163611043	0.827873305780815	1.95283107695396	4	5	0.692453827569167	0.398870715453153	0.430245753638241	0.198405952421364	0.198405952421364	0.388924860307257	0.26018133315386	"Marenzelleria"	6	34	6.47334366443025	0.496646557658069	10.8902836425455	4.87689700198582	371.930607545	35.5166449358322
"12"	"102"	2006	16.9345	58.20917	0.187662756090429	0.186320935244016	4.37866162111976	20	0.201116922053057	0.212929804273217	5	5	0.176208561072855	0.699115163611043	0.827873305780815	1.95283107695396	4	5	0.316831318559325	0.130456540416922	0.196858366583493	0.180953651858365	0.180953651858365	4.37866162111976	0.26018133315386	"Marenzelleria"	5	34	6.17274027482472	0.429362796952158	6.86532859613785	5.95691311533577	440.415641719449	53.5011609036972
"13"	"103"	2003	16.8405	58.12067	0.228455914375672	0.220301085508197	0.220041061162818	16.6666666666667	0.276997704363838	0.276771978028813	6	6	0.542615993974108	0.836000949418119	0.83793024183798	2.17910363026516	5	6	0.170209881916012	0.0593911100756095	0.094995943841359	0.179526941170824	0.179526941170824	0.220041061162818	0.275643346353689	"Marenzelleria"	5	33	6.36375841447793	0.29332762008865	4.35650435664526	6.13891724159213	420.735863154452	35.4643718359018
"15"	"103"	2005	16.8405	58.12067	0.229420043855695	0.235088054490261	0.594542250071913	28.5714285714286	0.279306882721961	0.285843785143308	7	7	0.225366445430969	0.888756457813986	0.903717587978114	2.42616610524785	6	7	0.440035083364349	0.197762032044346	0.226133299925474	0.249258081076675	0.178901276134105	0.502570438624397	0.295848779463805	"Marenzelleria"	6	33	6.85130103089351	0.430695031719133	9.17463822815187	4.12064461182345	390.482528437831	33.3573059679694
"16"	"103"	2006	16.8405	58.12067	0.213096017889953	0.208412669440362	4.3669703998962	14.2857142857143	0.268177494274598	0.268609366386242	7	7	0.207769905404396	0.872208151137624	0.861150964542839	2.39634472417084	6	7	0.370516519424419	0.153325912730201	0.190407825152818	0.180312578742815	0.180312578742815	4.3669703998962	0.271200599056107	"Marenzelleria"	5	33	6.37575213046382	0.405751858764765	7.23126051497632	5.44214071362726	439.288111635167	50.1463360587103
"18"	"104"	2011	14.93532	56.07617	0.186705548269018	0.187194874561449	8.48807411212925	14.2857142857143	0.181797116253769	0.188814800449754	7	7	0.0640970115969452	0.816489181452915	0.892256794264572	2.42166702592829	6	7	1.05487841826781	0.484205030393609	0.54210027054945	0.190130832316039	0.190130832316039	8.48807411212925	0.230920905625664	"Marenzelleria"	5	39.3	7.26680513850104	0.613240747398917	4.85498813566325	2.28178412263942	421.655065860387	42.0675734801493
"19"	"104"	2013	14.93532	56.07617	0.19696646629081	0.200769549606256	28.3471527126476	14.2857142857143	0.181797116253769	0.188814800449754	7	7	0.0640970115969452	0.816489181452915	0.892256794264572	2.42166702592829	6	7	1.42294013709507	0.721548962958321	0.731246577744544	0.223588049498936	0.223588049498936	28.3471527126476	0.230920905625664	"Marenzelleria"	5	39.3	7.41726754205655	0.698659566171422	3.20687769270582	2.79512601206307	412.793161730817	45.3582729355196
"20"	"104"	2015	14.93532	56.07617	0.217024905991904	0.214367420503252	4.74518817946624	11.1111111111111	0.259014077835963	0.259698865850076	9	9	0.0021617512737917	0.842275394646093	0.834087109313443	2.75085913071319	8	9	1.07820035941117	0.497566450156497	0.490710130649602	0.193107536594031	0.193107536594031	4.74518817946624	0.265177169962972	"Marenzelleria"	5	39.3	7.25708042248722	0.832569285315046	5.25052320451645	3.34445428693704	389.507612759394	36.7730190342466
"22"	"105"	2011	15.06267	56.16767	0.255904881039395	0.247194604782057	3.17535740306715	18.1818181818182	0.280534578197938	0.277537928121554	11	11	0.00125300721495901	0.879849692263229	0.846895812684827	3.09807258086356	10	11	0.967864178057603	0.489362997724581	0.403630712749225	0.207998361624037	0.234352730157079	0.842362198749329	0.278705913647038	"Marenzelleria"	5	15.4	6.6444186869316	0.43552660512223	6.75514667788382	4.12971889180071	422.227926549416	37.4910071241614
"23"	"105"	2013	15.06267	56.16767	0.248878684463794	0.239045085404608	3.89378948404523	20	0.272901955564425	0.270531744640408	10	10	0.00984631279858472	0.889693620494631	0.842851802754187	2.91957215721049	9	10	1.01279106386033	0.481365921132078	0.439849570355466	0.199710689167862	0.222108618319486	3.07781832699445	0.271090338195132	"Marenzelleria"	5	15.4	6.99830831802109	0.510053738255019	4.10167203350498	4.55268404035567	426.294035217547	44.3330226508119
"26"	"106"	2011	15.16098	56.10833	0.216717511551215	0.210789697699534	3.17890617503108	16.6666666666667	0.248998267686405	0.253095958405984	12	12	0.0115418441671008	0.925642421891885	0.883490807140033	3.27101738658496	11	12	0.812151018775861	0.380014916486837	0.326833613184282	0.181150628441125	0.195531081327018	3.12950113048963	0.277240405554091	"Marenzelleria"	5	24.8	6.97260584263169	0.462563466307319	5.96941057515102	3.11550526907216	423.91304703435	36.7726820646823
"28"	"106"	2013	15.16098	56.10833	0.215785714383257	0.212777742133758	7.27587535610675	11.1111111111111	0.256287898858067	0.257388673517682	9	9	0.0587530735579889	0.881015410474926	0.842978487484432	2.70703593977011	8	9	0.64564774484073	0.270910966516557	0.293846951968594	0.188713964137769	0.188713964137769	7.27587535610675	0.266194870794602	"Marenzelleria"	5	24.8	7.18340187724195	0.524911139487962	4.21599449201633	3.61006949890975	417.153382391971	41.7101400901569
"29"	"106"	2015	15.16098	56.10833	0.206824434239324	0.202209106181322	3.90794765434687	16.6666666666667	0.240284482523442	0.240177093466867	6	6	1.01725794793506	0.937948317705627	0.947690710581215	2.23125287502962	5	6	0.249122788979081	0.103186674227823	0.139038075845309	0.179132465891312	0.179132465891312	3.90794765434687	0.239640148183995	"Marenzelleria"	5	24.8	7.0909586882583	0.557713303580743	6.0277286480901	3.65282508952284	391.919024220475	35.193138849895
"30"	"107"	2011	15.51198	56.11933	0.244274179942089	0.246827831950129	1.46061659703584	20	0.267816384568946	0.271523057232394	10	10	0.00621715719323286	0.916896968424812	NA	2.96651467276031	9	10	0.73745662500015	0.336075083431463	0.320273342880561	0.257042439982288	0.197196969306442	1.2672601097807	0.283955629113044	"Marenzelleria"	5	9.1	6.52384966798456	0.437222704547703	6.98200769589809	4.8320562384402	427.9301318203	42.6510617446038
"32"	"107"	2013	15.51198	56.11933	0.277978200741583	0.261825815330362	8.09340553580113	22.2222222222222	0.297916076043089	0.292916620274512	9	9	0.0148090379822484	0.88696120669539	0.869349913896231	2.78801289751591	8	9	1.09963352043441	0.519403133761467	0.500464782606581	0.205292466391089	0.223525934408312	7.62055913167834	0.2748932995849	"Marenzelleria"	5	9.1	6.96196113207463	0.432472580633255	5.97934534360915	5.14164518952571	424.997884476982	43.2641362236433
"34"	"107"	2015	15.51198	56.11933	0.23834089892239	0.228588029306336	7.45900943615117	16.6666666666667	0.267442701941687	0.26624627160009	6	6	0.590281524801357	0.888885583763484	0.858994032186437	2.18114950693014	5	6	0.675234792229339	0.349765253835117	0.376855712960318	0.17982368122607	0.17982368122607	7.45900943615117	0.260264119892104	"Marenzelleria"	5	9.1	6.94548172917961	0.452278260672112	7.90345525689104	4.30034060758874	381.219605630118	34.7433869539587
